query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,total_results,normalized_query,numeric_filters,judgement
riesling mos,Store F,open,Region-specific wine,,,,,,,8.67,0,кшуыдштп ьщы,{},❌ NO_RESULTS
памперсы 3,Store D,open,Size constraint,Подгузники детские размер 3 «EcoBaby» 60шт,8.24,Подгузники детские размер 2 «PampKids» 32шт,8.24,Подгузники детские размер 3 «EcoBaby» 32шт,8.24,15.79,73,памперсы 3,{},✅ RELEVANT
масло сл,Store A,open,Two-letter stop,Масло сливочное безлактозное «Teos» 1кг,72.86,Масло сливочное премиум «Teos» 200г,72.86,Масло сливочное безлактозное «Teos» 1кг,72.86,11.35,67,масло сл,{},✅ RELEVANT
филе инд,Store A,open,Protein intent,Филе грудки индейки HoReCa «FarmLine» 5кг,26.27,Филе грудки индейки охлажденное «ProteinPro» 5кг,26.27,Филе грудки индейки HoReCa «FarmLine» 700г,26.27,13.51,21,филе инд,{},✅ RELEVANT
teos,Store A,open,Brand prefix,,,,,,,8.08,0,еущы,{},❌ NO_RESULTS
греч не,Store C,open,Cyrillic split,Йогурт греческий черника «Mediterran» 140г,14.71,Йогурт греческий натуральный «Mykonos» 900г,14.71,Йогурт греческий черника «Mediterran» 140г,14.71,16.83,47,греч не,{},✅ RELEVANT
prosecco ro,Store F,open,Latin multi-word,,,,,,,9.32,0,зкщыуссщ кщ,{},❌ NO_RESULTS
джин то,Store F,open,Cocktail ingredient,Джин премиальный grapefruit «Nordic Gin» 1000мл,23.26,Джин премиальный grapefruit «Nordic Gin» 1000мл,23.26,Джин премиальный grapefruit «Garage Barrel» 500мл,23.26,14.03,169,джин то,{},✅ RELEVANT
хозяйст мыло,Store D,open,Household goods,Батарейки AA alkaline «VoltEdge» 4шт,4.97,Пакеты для мусора 60л «StrongHold» 30шт,4.97,Полотенца бумажные эко «MaxiRoll» 2шт,4.97,10.03,111,хозяйст мыло,{},✅ RELEVANT
power bank 20,Store E,open,Numeric suffix,Power Bank 20000mAh «HyperCell» 1шт,4.2,Фольга алюминиевая 20м «KitchenLine» 1шт,4.2,Power Bank 20000mAh «VoltEdge» 1шт,4.2,15.52,83,зщцук ифтл 20,{},✅ RELEVANT
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг,40.55,Сыр гауда для сендвичей «ChefPro» 200г,40.11,Сыр гауда кусок «Dutch Yard» 200г,39.85,12.63,47,сыр гауда,{},✅ RELEVANT
diap night,Store D,open,Latin shortcut for diapers,,,,,,,10.38,0,вшфз тшпре,{},❌ NO_RESULTS
cat adult,Store C,open,Pet food intent,,,,,,,8.87,0,сфе фвгде,{},❌ NO_RESULTS
dog hypo,Store C,open,Hypoallergenic dog food,,,,,,,15.66,0,вщп рнзщ,{},❌ NO_RESULTS
san pelle,Store F,open,Sparkling water brand,,,,,,,8.5,0,ыфт зудду,{},❌ NO_RESULTS
посуд моющ,Store D,open,Abbreviated dish soap,Средство для мытья посуды для детской посуды «AllDish» 450мл,27.19,Средство для мытья посуды для детской посуды «BioClean» 450мл,27.19,Средство для мытья посуды для детской посуды «Crystal Drop» 1500мл,26.67,15.85,17,посуд моющ,{},✅ RELEVANT
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E27 «Volt» 4шт,24.29,Лампа LED E27 «EcoLight» 2шт,24.29,Лампа LED E27 «Volt» 4шт,24.29,11.22,16,лампа дув е27,{},✅ RELEVANT
мешки 120л,Store D,open,Trash bags with volume,,,,,,,9.0,0,мешки,"{""volume"": ""120""}",❌ NO_RESULTS
круп греч,Store C,open,Abbreviated grocery,Крупа гречневая ядрица «Русская крупа» 15кг,109.39,Крупа гречневая ядрица «Русская крупа» 900г,109.39,Крупа гречневая organic «Русская крупа» 15кг,109.39,15.61,41,круп греч,{},✅ RELEVANT
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «ChefPro» 5кг,26.61,Рыба минтай блок филе «HoReCaFish» 10кг,26.61,Рыба минтай блок филе «HoReCaFish» 10кг,26.61,12.31,56,рыба фил,{},✅ RELEVANT
