query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,top_4,top_4_score,top_5,top_5_score,latency_ms,total_results,normalized_query,numeric_filters,judgement
power bank 20,Store E,open,Numeric suffix,Power Bank slim «HyperCell» 1шт,8.14,Power Bank wireless «HyperCell» 1шт,8.14,Power Bank 20000mAh «HyperCell» 1шт,8.14,Power Bank 65W «VoltEdge» 1шт,8.14,Power Bank 20000mAh «VoltEdge» 1шт,8.14,8.61,23,power bank 20,{},✅ RELEVANT
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг,7.71,Сыр гауда для сендвичей «ChefPro» 200г,7.71,Сыр гауда кусок «Dutch Yard» 200г,7.19,Сыр гауда кусок «Nordic Cheese» 5кг,7.19,Сыр гауда выдержанный «Cheese&Co» 500г,7.19,10.56,47,сыр гауда,{},✅ RELEVANT
diap night,Store D,open,Latin shortcut for diapers,,,,,,,,,,,19.69,0,diap night,{},❌ NO_RESULTS
cat adult,Store C,open,Pet food intent,Корм для кошек сухой adult «NordPet» 1500г,7.72,Корм для кошек сухой adult «NordPet» 400г,7.72,Корм для кошек сухой adult «CatCraft» 1500г,7.72,Корм для кошек сухой sterilised «PerfectTail» 400г,7.23,Корм для кошек сухой hairball «NordPet» 400г,7.23,8.81,21,cat adult,{},✅ RELEVANT
dog hypo,Store C,open,Hypoallergenic dog food,Корм для собак гипоаллергенный grain free «VetPro» 1500г,6.64,Корм для собак гипоаллергенный salmon «NordPet» 1500г,6.64,Корм для собак гипоаллергенный salmon «NordPet» 800г,6.64,Корм для собак гипоаллергенный grain free «VetPro» 1500г,6.64,Корм для собак гипоаллергенный medium «VetPro» 1500г,6.64,8.44,29,dog hypo,{},✅ RELEVANT
san pelle,Store F,open,Sparkling water brand,Минеральная вода citrus «San Pellegrino» 1.5л,6.5,,,,,,,,,7.97,1,san pelle,{},✅ RELEVANT
посуд моющ,Store D,open,Abbreviated dish soap,Средство для мытья посуды лимон «BioClean» 750мл,4.07,Средство для мытья посуды концентрат «BioClean» 1500мл,4.07,Средство для мытья посуды эко «AllDish» 1500мл,4.07,Средство для мытья посуды для детской посуды «AllDish» 450мл,4.07,Средство для мытья посуды концентрат «BioClean» 450мл,4.07,8.46,17,посуд моющ,{},✅ RELEVANT
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E27 «Volt» 4шт,8.85,Лампа LED E27 «EcoLight» 2шт,8.85,Лампа LED E27 «Volt» 4шт,8.85,Лампа LED E14 «Luma» 4шт,8.8,Лампа LED smart «BrightHome» 1шт,8.8,8.97,16,лампа led е27,{},✅ RELEVANT
мешки 120л,Store D,open,Trash bags with volume,Пакеты для мусора 120л «CleanUp» 30шт,5.23,Пакеты для мусора 120л «DailyFix» 15шт,5.23,Пакеты для мусора 120л «StrongHold» 50шт,5.23,Пакеты для мусора 120л «DailyFix» 30шт,5.23,Пакеты для мусора 120л «CleanUp» 20шт,5.23,9.03,5,мешки 120л,{},✅ RELEVANT
круп греч,Store C,open,Abbreviated grocery,,,,,,,,,,,7.23,0,круп греч,{},❌ NO_RESULTS
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «ChefPro» 5кг,4.14,Рыба минтай блок филе «HoReCaFish» 10кг,4.14,Рыба минтай блок без глазури «ChefPro» 5кг,4.14,Рыба минтай блок без глазури «ChefPro» 10кг,4.14,Рыба минтай блок без глазури «OceanBlock» 5кг,4.14,9.21,39,рыба фил,{},✅ RELEVANT
